Unnamed: 0,time,seconds_elapsed,z,y,x,str_time,difference
1465,1711523609150115800,14.26511572265625,9.75485897064209,0.9144020080566406,0.4206860065460205,2024-03-27 07:13:29.150115800,0.4937160015106201
1466,1711523609159761700,14.27476171875,9.753379821777344,0.9266679883003236,0.4280779957771301,2024-03-27 07:13:29.159761700,0.49858999252319347
1467,1711523609169407500,14.284407470703124,9.752814292907717,0.9277179837226868,0.4385749995708465,2024-03-27 07:13:29.169407500,0.48914298415184027
1468,1711523609179053600,14.294053466796877,9.751792907714844,0.9397180080413818,0.4357199966907501,2024-03-27 07:13:29.179053600,0.5039980113506317
1469,1711523609188699400,14.303699462890624,9.750899314880373,0.9469640254974364,0.4400190114974975,2024-03-27 07:13:29.188699400,0.506945013999939
1470,1711523609198345200,14.31334521484375,9.749650955200195,0.9650819897651672,0.42814901471138,2024-03-27 07:13:29.198345200,0.5369329750537872
1471,1711523609207991300,14.3229912109375,9.7485990524292,0.9772449731826782,0.4244939982891083,2024-03-27 07:13:29.207991300,0.55275097489357
1472,1711523609217637000,14.33263720703125,9.746310234069824,0.9998499751091005,0.4244109988212585,2024-03-27 07:13:29.217637000,0.575438976287842
1473,1711523609227283200,14.342283203125,9.74415683746338,1.0167909860610962,0.4335030019283294,2024-03-27 07:13:29.227283200,0.5832879841327667
1474,1711523609236929000,14.351928955078124,9.741355895996094,1.0302400588989258,0.4636580049991607,2024-03-27 07:13:29.236929000,0.566582053899765
1475,1711523609246574800,14.361574951171876,9.739229202270508,1.046228051185608,0.4724499881267547,2024-03-27 07:13:29.246574800,0.5737780630588531
1476,1711523609256221000,14.371220947265623,9.737661361694336,1.0415860414505005,0.5132550001144409,2024-03-27 07:13:29.256221000,0.5283310413360596
1477,1711523609265866800,14.38086669921875,9.73985767364502,1.0191739797592163,0.5165749788284302,2024-03-27 07:13:29.265866800,0.5025990009307861
1478,1711523609275512600,14.3905126953125,9.741071701049805,0.991578996181488,0.5465090274810791,2024-03-27 07:13:29.275512600,0.44506996870040894
1479,1711523609285158700,14.40015869140625,9.74764919281006,0.9405940175056458,0.518671989440918,2024-03-27 07:13:29.285158700,0.4219220280647278
1480,1711523609294804700,14.4098046875,9.751029014587402,0.8966659903526306,0.532738983631134,2024-03-27 07:13:29.294804700,0.3639270067214966
1481,1711523609304450800,14.419450927734376,9.759117126464844,0.832726001739502,0.486409991979599,2024-03-27 07:13:29.304450800,0.34631600975990295
1482,1711523609314096400,14.429096435546874,9.762696266174316,0.786637008190155,0.4912739992141723,2024-03-27 07:13:29.314096400,0.2953630089759827
1483,1711523609323742500,14.438742431640623,9.769068717956545,0.7278220057487488,0.453821986913681,2024-03-27 07:13:29.323742500,0.2740000188350678
1484,1711523609333388300,14.44838818359375,9.771405220031738,0.6924840211868286,0.4587930142879486,2024-03-27 07:13:29.333388300,0.23369100689888
1485,1711523609343034400,14.458034423828124,9.77570629119873,0.6501929759979248,0.4280070066452026,2024-03-27 07:13:29.343034400,0.22218596935272222
1486,1711523609352680400,14.467680419921876,9.777106285095217,0.62847900390625,0.4284769892692566,2024-03-27 07:13:29.352680400,0.2000020146369934
1487,1711523609362326300,14.477326171875,9.780266761779783,0.6094480156898499,0.3812279999256134,2024-03-27 07:13:29.362326300,0.22822001576423645
